"wilayah","kecamatan","kelurahan","rw","periode_data"
"Jakarta Barat","CENGKARENG","CENGKARENG BARAT","09","2014"
"Jakarta Barat","CENGKARENG","CENGKARENG BARAT","10","2014"
"Jakarta Barat","CENGKARENG","CENGKARENG BARAT","11","2014"
"Jakarta Barat","CENGKARENG","CENGKARENG BARAT","12","2014"
"Jakarta Barat","CENGKARENG","CENGKARENG BARAT","13","2014"
"Jakarta Barat","CENGKARENG","CENGKARENG BARAT","14","2014"
"Jakarta Barat","CENGKARENG","CENGKARENG BARAT","16","2014"
"Jakarta Barat","CENGKARENG","CENGKARENG TIMUR","01","2014"
"Jakarta Barat","CENGKARENG","DURI KOSAMBI","01","2014"
"Jakarta Barat","CENGKARENG","DURI KOSAMBI","02","2014"
"Jakarta Barat","CENGKARENG","DURI KOSAMBI","04","2014"
"Jakarta Barat","CENGKARENG","DURI KOSAMBI","05","2014"
"Jakarta Barat","CENGKARENG","DURI KOSAMBI","06","2014"
"Jakarta Barat","CENGKARENG","DURI KOSAMBI","07","2014"
"Jakarta Barat","CENGKARENG","DURI KOSAMBI","08","2014"
"Jakarta Barat","CENGKARENG","DURI KOSAMBI","14","2014"
"Jakarta Barat","CENGKARENG","KAPUK","01","2014"
"Jakarta Barat","CENGKARENG","KAPUK","02","2014"
"Jakarta Barat","CENGKARENG","KAPUK","03","2014"
"Jakarta Barat","CENGKARENG","KAPUK","04","2014"
"Jakarta Barat","CENGKARENG","KAPUK","05","2014"
"Jakarta Barat","CENGKARENG","KAPUK","06","2014"
"Jakarta Barat","CENGKARENG","KAPUK","07","2014"
"Jakarta Barat","CENGKARENG","KAPUK","08","2014"
"Jakarta Barat","CENGKARENG","KAPUK","09","2014"
"Jakarta Barat","CENGKARENG","KAPUK","10","2014"
"Jakarta Barat","CENGKARENG","KAPUK","11","2014"
"Jakarta Barat","CENGKARENG","KAPUK","12","2014"
"Jakarta Barat","CENGKARENG","KAPUK","13","2014"
"Jakarta Barat","CENGKARENG","KAPUK","14","2014"
"Jakarta Barat","CENGKARENG","KAPUK","15","2014"
"Jakarta Barat","CENGKARENG","KAPUK","16","2014"
"Jakarta Barat","CENGKARENG","KEDAUNG KALI ANGKE","01","2014"
"Jakarta Barat","CENGKARENG","KEDAUNG KALI ANGKE","02","2014"
"Jakarta Barat","CENGKARENG","KEDAUNG KALI ANGKE","03","2014"
"Jakarta Barat","CENGKARENG","KEDAUNG KALI ANGKE","04","2014"
"Jakarta Barat","CENGKARENG","KEDAUNG KALI ANGKE","05","2014"
"Jakarta Barat","CENGKARENG","KEDAUNG KALI ANGKE","06","2014"
"Jakarta Barat","CENGKARENG","KEDAUNG KALI ANGKE","07","2014"
"Jakarta Barat","CENGKARENG","KEDAUNG KALI ANGKE","08","2014"
"Jakarta Barat","CENGKARENG","RAWA BUAYA","01","2014"
"Jakarta Barat","CENGKARENG","RAWA BUAYA","02","2014"
"Jakarta Barat","CENGKARENG","RAWA BUAYA","03","2014"
"Jakarta Barat","CENGKARENG","RAWA BUAYA","04","2014"
"Jakarta Barat","CENGKARENG","RAWA BUAYA","05","2014"
